time,open,high,low,close,Sell,Buy,ATR,RSI
2022-06-30T16:30:00+03:00,19210,19240,18701.5,18794.5,0,0,19382.864523915494,27.47896884630825
2022-06-30T16:45:00+03:00,18794.5,18944,18789.5,18858.5,0,0,19364.249557226645,31.949421866960847
2022-06-30T17:00:00+03:00,18858.5,18980,18842,18958,0,0,19357.892665878822,38.315758295043324
2022-06-30T17:15:00+03:00,18958,18965,18896.5,18920.5,0,0,19352.873759676717,36.91409760838644
2022-06-30T17:30:00+03:00,18920.5,19085,18913,19010.5,0,0,19347.757975989203,42.36361595663016
2022-06-30T17:45:00+03:00,19010.5,19134.5,19005.5,19108,0,0,19344.596613832808,47.64039545851838
2022-06-30T18:00:00+03:00,19108,19160,19094,19144,0,0,19341.862454941187,49.4795654259235
2022-06-30T18:15:00+03:00,19144,19235,19105,19185,0,0,19339.853435414858,51.56617094935343
2022-06-30T18:30:00+03:00,19185,19207,19137,19174,0,0,19338.01696671569,50.95806435946119
2022-06-30T18:45:00+03:00,19174,19229.5,19075.5,19126.5,0,0,19335.63854920474,48.30879198310304
2022-06-30T19:00:00+03:00,19126.5,19145.5,19056,19098.5,0,0,19333.81750758177,46.765361445999424
2022-06-30T19:15:00+03:00,19098.5,19215,19076.5,19183,0,0,19332.877009221338,51.77301613569771
2022-06-30T19:30:00+03:00,19183,19283,19130.5,19142,0,0,19330.63849569356,49.347431419622865
2022-06-30T19:45:00+03:00,19142,19185,19107.5,19126.5,0,0,19328.808155906794,48.423788156689604
2022-06-30T20:00:00+03:00,19126.5,19146.5,19062,19075.5,0,0,19327.291880256194,45.41194092112805
2022-06-30T20:15:00+03:00,19075.5,19119,19061,19089.5,0,0,19323.90299787902,46.397542573011684
2022-06-30T20:30:00+03:00,19089.5,19210,19089.5,19115,0,0,19319.56846032216,48.23099814012819
2022-06-30T20:45:00+03:00,19115,19168,19089.5,19089.5,0,0,19315.692077644842,46.51748819874578
2022-06-30T21:00:00+03:00,19089.5,19113,19075.5,19075.5,0,0,19282.52716331304,45.56046802196983
2022-06-30T21:15:00+03:00,19075.5,19093,19011.5,19040.5,0,0,19268.297336805597,43.1693289930867
2022-06-30T21:30:00+03:00,19040.5,19068,18950,18976.5,0,0,19263.879325016525,39.12566554254364
2022-06-30T21:45:00+03:00,18976.5,19022,18945.5,18962,0,0,19239.67785699055,38.251446467158
2022-06-30T22:00:00+03:00,18962,18981,18926.5,18943.5,0,0,19190.49085298022,37.112083023631996
2022-06-30T22:15:00+03:00,18943.5,19044,18873,18976,0,0,19185.43412344103,40.46690292575369
2022-06-30T22:30:00+03:00,18976,19042.5,18871,18891.5,0,0,19180.799975764185,35.20793432699821
2022-06-30T22:45:00+03:00,18891.5,18969,18842.5,18924.5,0,0,19175.603532164343,38.56572238562353
2022-06-30T23:00:00+03:00,18924.5,19007.5,18885.5,19001.5,0,0,19173.51222215541,45.64418488477712
2022-06-30T23:15:00+03:00,19001.5,19066,18972,19020,0,0,19171.39385736653,47.21773960883667
2022-06-30T23:30:00+03:00,19020,19030,18812,18839.5,0,0,19167.58733767135,36.205015929549
2022-06-30T23:45:00+03:00,18839.5,18862,18601,18748.5,0,0,19157.89837398488,32.13566028713866
2022-07-01T00:00:00+03:00,18748.5,18922,18705.5,18883,0,0,19153.856887453097,42.43442882185558
2022-07-01T00:15:00+03:00,18883,18928.5,18840,18850.5,0,0,19150.200404364998,40.82234586199378
2022-07-01T00:30:00+03:00,18850.5,18970,18838,18858.5,0,0,19147.840058278787,41.41236527497332
2022-07-01T00:45:00+03:00,18858.5,18915.5,18801,18815.5,0,0,19148.362344699475,39.15275257149501
2022-07-01T01:00:00+03:00,18815.5,18840,18727,18775,0,0,19147.37978522719,37.09949595116055
2022-07-01T01:15:00+03:00,18775,18898,18761,18843,0,0,19143.94097691906,42.54739704606351
2022-07-01T01:30:00+03:00,18843,18920,18842.5,18890,0,0,19142.3775420631,46.026966768103875
2022-07-01T01:45:00+03:00,18890,18950,18870.5,18881.5,0,0,19141.20718048215,45.49037854654304
2022-07-01T02:00:00+03:00,18881.5,18991.5,18871,18970,0,0,19140.54963500338,51.79205918141536
2022-07-01T02:15:00+03:00,18970,19019,18942,19012,0,0,19139.124475752764,54.481499278862
2022-07-01T02:30:00+03:00,19012,19143,19003,19056,0,0,19139.24982017494,57.176818996519025
2022-07-01T02:45:00+03:00,19056,19999,19047.5,19925.5,0,1,18639.602667169016,81.05298845165905
2022-07-01T03:00:00+03:00,19925.5,19949,19639.5,19701.5,0,0,18654.5044926255,70.1948777442662
2022-07-01T03:15:00+03:00,19701.5,20732.5,19678,20467.5,0,0,18699.36086789217,80.04136774404134
2022-07-01T03:30:00+03:00,20467.5,21017.5,20356.5,20398.5,0,0,18748.65444565226,77.55588751339536
2022-07-01T03:45:00+03:00,20398.5,20489.5,20245,20280.5,0,0,18760.615048498177,73.3604669834496
2022-07-01T04:00:00+03:00,20280.5,20445,20245,20289.5,0,0,18947.43968961716,73.47831087956392
2022-07-01T04:15:00+03:00,20289.5,20377,20253,20376.5,0,0,19202.60885488438,74.64590018230486
2022-07-01T04:30:00+03:00,20376.5,20481.5,20276,20411.5,0,0,19303.40951629848,75.12043189286864
2022-07-01T04:45:00+03:00,20411.5,20426,20365,20400,0,0,19460.516065367578,74.62620894951363
2022-07-01T05:00:00+03:00,20400,20550,20342.5,20490,0,0,19531.740502956254,75.95924612571991
2022-07-01T05:15:00+03:00,20490,20490,20375,20381.5,0,0,19566.16605566437,71.1091086463814
2022-07-01T05:30:00+03:00,20381.5,20390.5,20305,20328.5,0,0,19615.957380276235,68.79820763871865
2022-07-01T05:45:00+03:00,20328.5,20348.5,20261,20290.5,0,0,19649.27507159619,67.11412858881944
2022-07-01T06:00:00+03:00,20290.5,20297.5,20112,20185.5,0,0,19663.951831353803,62.55738763954625
2022-07-01T06:15:00+03:00,20185.5,20204.5,20073,20118.5,0,0,19674.18586994114,59.76879503463081
2022-07-01T06:30:00+03:00,20118.5,20171,20050,20093,0,0,19681.374629397338,58.696367992021536
2022-07-01T06:45:00+03:00,20093,20120,19676.5,19717,1,0,20218.225635283554,45.68088909587697
2022-07-01T07:00:00+03:00,19717,19746.5,19511,19573.5,0,0,20146.246492861366,41.86537833086402
2022-07-01T07:15:00+03:00,19573.5,19600,19533,19554.5,0,0,20012.620756283257,41.3726384251361
2022-07-01T07:30:00+03:00,19554.5,19757,19549.5,19594.5,0,0,20015.527919351003,42.896400890036155
2022-07-01T07:45:00+03:00,19594.5,19608.5,19342.5,19398.5,0,0,20015.094126652108,37.7227090350217
2022-07-01T08:00:00+03:00,19398.5,19428,19327.5,19412.5,0,0,19941.046988193968,38.2951825807191
2022-07-01T08:15:00+03:00,19412.5,19571,19308,19453,0,0,19940.77777172319,40.01306737657397
2022-07-01T08:30:00+03:00,19453,19480,19360.5,19459.5,0,0,19942.054664903844,40.30033710247478
2022-07-01T08:45:00+03:00,19459.5,19519,19427,19460,0,0,19902.89895816546,40.32401123962714
2022-07-01T09:00:00+03:00,19460,19480,19385.5,19415,0,0,19841.860202700296,38.83151313867413
2022-07-01T09:15:00+03:00,19415,19429.5,19351,19417,0,0,19804.28613774061,38.9396842449094
2022-07-01T09:30:00+03:00,19417,19440.5,19387,19437,0,0,19769.950691257567,40.0808116592375
2022-07-01T09:45:00+03:00,19437,19465.5,19352,19389,0,0,19762.557432715595,38.234007519168365
2022-07-01T10:00:00+03:00,19389,19412,19325,19386.5,0,0,19754.464503069394,38.13544843843814
2022-07-01T10:15:00+03:00,19386.5,19544.5,19372.5,19498,0,0,19756.060156343876,44.95120655712295
2022-07-01T10:30:00+03:00,19498,19666,19492,19536.5,0,0,19757.402179372388,47.11767988478201
2022-07-01T10:45:00+03:00,19536.5,19633,19525,19571,0,0,19763.17109900345,49.052632523150976
2022-07-01T11:00:00+03:00,19571,19886.5,19463,19747,0,0,19769.111221137457,57.57989831290723
2022-07-01T11:15:00+03:00,19747,19763,19632,19652.5,0,0,19773.85733128342,52.498974362109855
2022-07-01T11:30:00+03:00,19652.5,19681,19566,19571.5,0,0,19776.961508613218,48.54482866646487
2022-07-01T11:45:00+03:00,19571.5,19636,19482.5,19516.5,0,0,19779.088811189427,46.01073107368298
2022-07-01T12:00:00+03:00,19516.5,19550,19415,19465,0,0,19784.098542451575,43.709876518865826
2022-07-01T12:15:00+03:00,19465,19553.5,19456,19474.5,0,0,19801.013560992425,44.26357104728618
2022-07-01T12:30:00+03:00,19474.5,19485,19378,19433,0,0,19808.593982433085,42.305863698164224
2022-07-01T12:45:00+03:00,19433,19480,19359,19410,0,0,19810.13711290776,41.21780919733098
2022-07-01T13:00:00+03:00,19410,19460,19335,19442.5,0,0,19811.721871792703,43.43173543730581
2022-07-01T13:15:00+03:00,19442.5,19494,19405,19419,0,0,19812.72104382846,42.194250722326366
2022-07-01T13:30:00+03:00,19419,19440,19092,19143,0,0,19806.46355541698,31.016558038063607
2022-07-01T13:45:00+03:00,19143,19170,18975,19060,0,0,19802.243086350318,28.56580761337983
2022-07-01T14:00:00+03:00,19060,19186.5,18938,19129.5,0,0,19796.548050440426,33.31709593743646
2022-07-01T14:15:00+03:00,19129.5,19194,19088.5,19171,0,0,19797.143914367836,36.052230049535346
2022-07-01T14:30:00+03:00,19171,19217.5,19126.5,19154.5,0,0,19798.71503025794,35.429993208882195
2022-07-01T14:45:00+03:00,19154.5,19204.5,19130,19180,0,0,19757.895893321624,37.23299401046866
2022-07-01T15:00:00+03:00,19180,19216,19170,19199,0,0,19713.083540933832,38.60852772741968
2022-07-01T15:15:00+03:00,19199,19293.5,19113.5,19220,0,0,19699.658916876757,40.16921155559952
